sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Consumer Defensive,2026-08-21 02:19:35,2999.9952583184895,16.154727498994188,16.6670333941102,0.540363778928,JPY,0.018000000000000016,1,2503.T,-0.051498500835992944,16.390056153656378
Real Estate,2026-08-21 02:19:35,93.1999969482422,2.504620336863256,16.666666666666668,0.6608111663051868,TWD,0.036480704261900865,0,2548.TW,0.011802640982128798,17.358421662281387
Technology,2026-08-21 02:19:35,824.5999755859375,824.5999755859375,16.666666666666668,0.6232236230170842,EUR,0.023526588635025547,0,ASM.AS,0.016492889914809794,16.941548165246832
Financial Services,2026-08-21 02:19:35,367.1000061035156,314.08708679059924,16.666666666666668,0.2895035580457412,USD,0.00920731361104754,0,AMG,-0.008989425921219651,16.94559915389918
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,16.666666666666668,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17022156147393463,20.009983768761373
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,16.666666666666668,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.006625848889193042,16.777097481486553
Energy,2026-08-21 02:19:35,92.08999633789062,78.79127810248221,16.666666666666668,0.6808883000790644,USD,0.2084917509084192,0,DINO,0.18655664011691386,20.289302377534707
Consumer Cyclical,2026-08-21 02:19:35,114.5,3.0770283043045916,16.666666666666668,0.5904916523747072,TWD,0.008733624454148492,0,9942.TW,0.0,17.15593630535699
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,31.939175510930113,16.666666666666668,0.316299376786094,USD,0.045807634626208626,0,LAUR,-0.019421437269130593,16.767218935469167
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,16.666666666666668,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,17.727800848868892
Financial Services,2026-08-21 02:19:35,223.8800048828125,191.54948884549825,16.666666666666668,0.328750841489845,USD,0.03475075312495712,0,THG,-0.020502106023636557,16.748740243101004
Healthcare,2026-08-21 02:19:35,26.55500030517578,22.72019217353061,16.666666666666668,0.6630943299365046,USD,0.016381075539193102,0,MD,-0.034080236348899895,16.516563554204215
Consumer Cyclical,2026-08-21 02:19:35,232.5,6.248114242365219,16.666666666666668,0.6744223635918247,TWD,0.017204301075268713,0,2727.TW,-0.0021505376344086446,17.119041818678806
Technology,2026-08-21 02:19:35,473.56521161246195,406.18015115038,33.60704789123571,0.4393455389831691,USD,0.0,2,WDC,-0.0017002977142160924,34.33586411796064
Financial Services,2026-08-21 02:19:35,82.81999969482422,82.81999969482422,16.666666666666668,0.3490611475338754,EUR,0.025597714976984154,0,UCG.MI,0.009538769843496109,16.82564616405827
Healthcare,2026-08-21 02:19:35,13.890000343322754,11.884145112556801,16.666666666666668,0.4452661773738038,USD,0.0341972221781659,0,BVS,-0.026637860072980413,16.643823069312266
Industrials,2026-08-21 02:19:35,30.725000381469727,26.288002454390202,16.666666666666668,0.6126627198405348,USD,0.06102516092342114,0,GEO,0.02620017234112959,17.547317079154247
Consumer Cyclical,2026-08-21 02:19:35,265.1300048828125,226.84257551044055,16.666666666666668,0.3556015121851461,USD,0.0,0,AMZN,-0.02619472408371315,16.651400389919335
Technology,2026-08-21 02:19:35,717.0,19.268378115164996,16.666666666666668,0.4661953224589044,TWD,0.05299860529986056,0,2379.TW,0.05299860529986056,18.065177002154154
Financial Services,2026-08-21 02:19:35,53.290000915527344,45.59439080452267,16.666666666666668,0.4587169403769879,USD,0.0,0,OFG,-0.023175090807546095,16.70303404189855
Healthcare,2026-08-21 02:19:35,243.72999572753903,208.5329421104981,16.666666666666668,0.3236953567372271,USD,0.030238421635289114,0,JAZZ,-0.03237188498730559,16.5457751874045
Industrials,2026-08-21 02:19:35,95.61499786376952,81.80723408664943,16.666666666666668,0.4455501490409179,USD,0.0,0,DCI,-0.08957794282665732,15.567590947320536
Technology,2026-08-21 02:19:35,483.0,12.979953458332906,16.666666666666668,0.3661143840629577,TWD,0.10973084886128359,0,3044.TW,0.10973084886128359,19.038471759153925
Financial Services,2026-08-21 02:19:35,53.93000030517578,46.141967869355945,16.666666666666668,0.3077734286029119,USD,0.04561466846935214,0,UFCS,-0.004264779175501943,17.02638736342069
Healthcare,2026-08-21 02:19:35,34.4900016784668,29.509299837869904,16.666666666666668,0.3966413259722792,USD,0.0171064112460233,0,AMN,-0.052479016677492885,16.20195706611623
Industrials,2026-08-21 02:19:35,3034.0,16.337828403037328,16.666666666666668,0.5833156874995833,JPY,0.016150296638101524,0,1802.T,0.016150296638101524,17.55865018613188
Consumer Cyclical,2026-09-02 16:04:24,42.10499954223633,36.343353516520324,16.666666666666668,0.2988270214310851,USD,0.0,0,YETI,-0.01436882908951087,16.70580579511466
Consumer Cyclical,2026-09-02 16:04:24,44.90499877929688,38.76020099840665,16.666666666666668,0.6262229391100191,USD,0.0,0,YUMC,-0.026388989885466674,16.502071905796015
Communication Services,2026-09-03 04:01:28,337.1600036621094,289.9474771531931,16.666666666666668,0.4654574243650746,USD,0.02577412014182756,0,GOOGL,0.00955335231283616,17.174745927783555
